radial_step,angle_deg,gx,gy,gz,bmag
1,330.85,-4.267000,-4.238000,1.868000,6.297409
1,332.31,-3.894000,-4.321000,1.799000,6.088569
1,333.77,-3.594000,-4.377000,1.735000,5.923275
1,335.22,-3.217000,-4.447000,1.643000,5.729254
1,336.68,-2.904000,-4.495000,1.590000,5.582682
1,338.14,-2.569000,-4.539000,1.526000,5.434239
1,339.60,-2.176000,-4.594000,1.431000,5.280869
1,341.05,-1.850000,-4.619000,1.379000,5.163265
1,342.51,-1.412000,-4.661000,1.267000,5.032291
1,343.97,-1.079000,-4.688000,1.191000,4.955811
1,345.43,-0.756000,-4.708000,1.138000,4.902228
1,346.88,-0.344000,-4.725000,1.045000,4.851390
1,348.34,0.017000,-4.726000,0.966000,4.823746
1,349.80,0.367000,-4.722000,0.903000,4.821554
1,351.26,0.810000,-4.731000,0.788000,4.864093
1,352.71,1.155000,-4.715000,0.711000,4.906197
1,354.17,1.489000,-4.709000,0.653000,4.981788
1,355.63,1.845000,-4.689000,0.586000,5.072883
1,357.09,2.183000,-4.667000,0.497000,5.176233
1,358.54,2.622000,-4.628000,0.391000,5.333493
2,0.00,2.963000,-4.603000,0.325000,5.483849
2,1.50,3.309000,-4.556000,0.250000,5.636410
2,3.00,3.641000,-4.508000,0.165000,5.797083
2,4.50,3.977000,-4.465000,0.095000,5.980115
2,6.00,4.403000,-4.417000,0.024000,6.236736
2,7.50,4.442000,-4.369000,0.020000,6.230564
2,9.00,4.304000,-4.351000,0.040000,6.120230
2,10.50,4.270000,-4.364000,0.068000,6.105900
2,12.00,4.248000,-4.363000,0.025000,6.089491
2,13.50,4.231000,-4.369000,0.057000,6.082168
2,15.00,4.233000,-4.377000,0.036000,6.089147
2,16.50,4.242000,-4.363000,0.029000,6.085324
2,18.00,4.242000,-4.360000,0.027000,6.083165
2,19.50,4.228000,-4.368000,0.034000,6.079191
2,21.00,4.243000,-4.367000,0.025000,6.088872
2,22.50,4.245000,-4.366000,0.035000,6.089598
2,24.00,4.239000,-4.363000,0.034000,6.083259
2,25.50,4.249000,-4.365000,0.029000,6.091639
2,27.00,4.242000,-4.363000,0.031000,6.085334
2,28.50,4.241000,-4.366000,0.029000,6.086779
2,30.00,4.240000,-4.366000,0.028000,6.086078
2,31.50,4.245000,-4.370000,0.025000,6.092417
2,33.00,4.246000,-4.362000,0.026000,6.087383
2,34.50,4.241000,-4.372000,0.015000,6.091034
2,36.00,4.240000,-4.366000,0.031000,6.086092
2,37.50,4.250000,-4.373000,0.023000,6.098045
2,39.00,4.244000,-4.363000,0.024000,6.086697
2,40.50,4.247000,-4.362000,0.023000,6.088069
2,42.00,4.244000,-4.365000,0.021000,6.088120
2,43.50,4.241000,-4.365000,0.030000,6.086067
2,45.00,4.241000,-4.357000,0.029000,6.080327
2,46.50,4.241000,-4.360000,0.033000,6.082497
2,48.00,4.241000,-4.358000,0.032000,6.081058
2,49.50,4.245000,-4.366000,0.034000,6.089593
2,51.00,4.239000,-4.358000,0.020000,6.079612
2,52.50,4.246000,-4.360000,0.025000,6.085946
2,54.00,4.247000,-4.367000,0.019000,6.091638
2,55.50,4.242000,-4.366000,0.027000,6.087467
2,57.00,4.241000,-4.366000,0.022000,6.086750
2,58.50,4.246000,-4.356000,0.036000,6.083136
2,60.00,4.239000,-4.358000,0.020000,6.079612
2,61.50,4.147000,-4.290000,0.073000,5.967163
